Nombre,Apellido,Nacimiento,Nacionalidad,Position,Id_equipo,Id_jugador
Fanchon,Ruddle,1992-08-21,Macedonia,Defender,1,1
Percy,Ruttgers,2006-10-08,China,Midfielder,2,2
Mohammed,McIlrath,1991-08-11,Russia,Defender,3,3
Thekla,Pau,1995-05-21,Canada,Midfielder,4,4
Rosamond,Danielsky,1992-06-01,Philippines,Defender,5,5
Zachary,Sever,2003-09-15,Indonesia,Forward,6,6
Jasmin,Linfitt,1991-08-20,Japan,Forward,7,7
Leola,Hollidge,2006-05-06,Japan,Defender,8,8
Burl,Ohms,1996-10-08,Brazil,Midfielder,9,9
Kent,Cursey,1993-05-10,Canada,Forward,10,10
Heddi,Luckie,1991-09-19,Peru,Goalkeeper,11,11
Kalli,Ciementini,2005-03-07,Nicaragua,Goalkeeper,12,12
Gizela,Le Houx,1992-10-01,Russia,Defender,13,13
Hailee,Bicknell,1995-03-05,France,Defender,14,14
Enriqueta,Vedyaev,1994-01-03,Philippines,Midfielder,15,15
Jamill,Delamaine,1998-02-20,China,Defender,16,16
Hermon,Churchin,2003-10-22,Brazil,Goalkeeper,17,17
Ardys,Stoven,2002-03-13,China,Midfielder,18,18
Dorolisa,Bennison,2003-05-04,Nepal,Midfielder,19,19
Martin,Goldstraw,2005-02-27,Sweden,Forward,20,20
Mariele,Sterland,2000-08-21,China,Forward,21,21
Teresa,Attlee,1992-11-15,Botswana,Forward,22,22
Dianemarie,Greene,1998-02-19,Argentina,Goalkeeper,23,23
Budd,Boud,1993-08-10,Russia,Forward,24,24
Allen,Quesne,2002-05-11,China,Goalkeeper,25,25
Oran,Storer,1995-07-07,Brazil,Defender,26,26
Hubie,Lacasa,1998-04-22,Albania,Defender,27,27
Mar,Margrett,1991-08-05,Tanzania,Defender,28,28
Kriste,Trever,2000-08-09,France,Goalkeeper,29,29
Holt,Solan,2003-11-22,China,Defender,30,30
Kittie,MacElharge,1996-10-23,Brazil,Midfielder,31,31
Halli,Causey,2002-08-07,Russia,Forward,32,32
Tisha,Hollerin,2003-11-20,South Africa,Goalkeeper,33,33
Cheryl,Milkins,2004-12-02,Cameroon,Forward,34,34
Maximo,Whissell,1993-10-14,Portugal,Midfielder,35,35
Flemming,Jopp,2002-05-05,Serbia,Midfielder,36,36
Isabelita,Lawless,1994-04-23,Kazakhstan,Forward,37,37
Vito,Seifenmacher,1999-09-16,Sweden,Goalkeeper,38,38
Rhodia,Boggas,1992-03-14,Russia,Midfielder,39,39
Salem,Muscroft,1992-07-30,Cambodia,Midfielder,40,40
Krispin,Mapes,1996-07-19,Yemen,Defender,41,41
Hadleigh,Blackborne,1997-07-01,Poland,Forward,42,42
Trudy,Capsey,2004-03-01,Honduras,Defender,43,43
Giralda,Holliar,2004-04-28,Luxembourg,Midfielder,44,44
Cord,Gudde,1998-08-27,Indonesia,Forward,45,45
Gard,Kopfen,1993-10-15,Brazil,Goalkeeper,46,46
Ignacio,Farnish,2002-04-06,France,Goalkeeper,47,47
Howie,Whittick,1993-10-25,China,Forward,48,48
Chastity,McKinna,1994-08-20,China,Forward,49,49
Shelby,Whiteman,1992-12-01,Ukraine,Midfielder,50,50
